epoch	batch	iter	loss	acc	lr
1	1	1	tensor(2.6658, device='cuda:0')	tensor(0., device='cuda:0')	0.1
2	1	2	tensor(9.5367e-07, device='cuda:0')	tensor(1., device='cuda:0')	0.1
3	1	3	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
4	1	4	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
5	1	5	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
6	1	6	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
7	1	7	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
8	1	8	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
9	1	9	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
10	1	10	tensor(0., device='cuda:0')	tensor(1., device='cuda:0')	0.1
